Primary Theme,Media Views,Visitors,New Visit Rate %,Entries,Exits,Returning Visits,Bounces,Avg Play Duration (s),Total Play Duration (s),Engagement per Visitor,Acquisition Rate,Retention Rate,norm_Engagement per Visitor,norm_Acquisition Rate,norm_Retention Rate,Recommendation
humour,1962288.0,3299310.0,21.439495432796868,2948250.0,3093578.0,3438359.0,2905547.0,866.4036537625054,919570553.0,278.7160203194001,0.8935959336952272,1.0421448727158102,1.0,0.0,1.0,Boost Production
info,19951723.0,38662597.0,25.787311714167846,35290596.0,36248585.0,38046311.0,35021585.0,372.30670995282765,1580277267.0,40.87354160404693,0.912783898091481,0.9840598912690733,0.07285195630059296,0.20023637724728782,0.0,Needs Further Analysis
musique,3814714.0,8264804.0,33.29478790228771,8146980.0,8131634.0,8251957.0,7975840.0,1481.0011632415665,601894240.0,72.82619648330439,0.9857438845494703,0.998445577172792,0.19740851836771006,0.9616117410253868,0.24766618746207503,Needs Further Analysis
societe,1360605.0,2537366.0,31.962236806125237,2374423.0,2364378.0,2544214.0,2291368.0,951.8435876401422,416120529.0,163.99704614943212,0.9357826186683356,1.002698861732994,0.5528070803358022,0.4402399750510818,0.3208913905053455,Needs Further Analysis
sport,418732.0,881021.0,26.935493257629524,871702.0,864204.0,914720.0,865770.0,535.8821859474805,19545218.0,22.184735664643636,0.9894224995771951,1.0382499395587619,0.0,1.0,0.9329442299879193,Review Content Strategy
